file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00038_00897.800-00899.900,དེ་ནས། རྒྱུ་ཡི་སྒོ་ནས།  ,de nas/_rgyu yi sgo nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00038_00897.800-00899.900.wav,STT_TT,3,24,2.1000000000000227,wav16k/STT_TT00038_00897.800-00899.900.wav,དེ་ནས། རྒྱུ་ཡི་སྒོ་ནས།
STT_TT00668_0239_2583190_to_2587602,ད་ང་ལ་དེ་འདྲའི་ཅིག་ཤར་གི་འདུག་ད་ཟེ་ལབ་ན། ཨ་ནས། ཧེ་ཧེ། ཨ་ནས་དེ་ཡར་ཕེབས་རོགས་བྱེད་ལབ་ཡ་ ,da nga la de 'dra'i cig shar gi 'dug da ze lab na/_a nas/_he he/_a nas de yar phebs rogs byed lab ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00668_0239_2583190_to_2587602.wav,STT_TT,3,86,4.412,wav16k/STT_TT00668_0239_2583190_to_2587602.wav,ད་ང་ལ་དེ་འདྲའི་ཅིག་ཤར་གི་འདུག་ད་ཟེ་ལབ་ན། ཨེ་ནས།ཧ་ཧ། ཨེ་ནས་དེ་ཡར་ཕེབས་རོགས་བྱེས་ལབ་ཡ་དེ།
STT_NS_M0052_0082_703482_to_712656,སྤྱི་ཚོགས་ནང་འགྲོ་སྟངས་འགྲོ་ལུགས་ད་ཨོ་དེ་ང་ཚོ་ད་ཤོད་དགོས་མ་རཱ། ང་ཚོ་ཡོད་བ་ད་རྒྱལ་ཁབ་ཀི་ད་ག་ལབ་དགོས་རེད། དཔལ་འབྱོར་ལ་ད་གནོད་ཡོད་བ་ཤུགས་ཆེན་པོ་ཅིག་སྐྱེལ་གི་རེད་བསམ་གི་འདུག་ཡོད་བ། ག་བྱས་ནས་ལབ་ན་ད་ང་ཚོ་ ,spyi tshogs nang 'gro stangs 'gro lugs da o de nga tsho da shod dgos ma rA/_nga tsho yod ba da rgyal khab ki da ga lab dgos red/_dpal 'byor la da gnod yod ba shugs chen po cig skyel gi red bsam gi 'dug yod ba/_ga byas nas lab na da nga tsho _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0052_0082_703482_to_712656.wav,STT_NS,3,199,9.174,wav16k/STT_NS_M0052_0082_703482_to_712656.wav,སྤྱི་ཚོགས་ནང་འགྲོ་སྟངས་འགྲོ་ལུགས་ད་ཨོ་འདྲ་གང་ཚང་ཤེས་ཀི་ཡོད་མ་རཱ། ང་ཚོ་ཡོད་བ་ད་རྒྱལ་ཁབ་ཀི་ད་ག་ལབ་དགོས་རེད། དཔལ་འབྱོར་ལ་ད་གནོད་ཡོ་ཤུགས་ཆེན་པོ་ཅིག་སྐྱལ་གི་རེད་བསམ་གི་འདུག་ཡོད། ག་རེ་བྱས་ནས་ལབ་ན་ད་ང་ཚོ།
STT_NS_M0046_0133_753696_to_756548,ཏོག་ཙི་ག་ལབ་དགོས་རེད། དེ་འདྲ་སེམས་འཁྲལ་མི་འདུག་ཡོད་བ་ལོ་རིམ་དང་པོ།  ,tog tsi ga lab dgos red/_de 'dra sems 'khral mi 'dug yod ba lo rim dang po/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0046_0133_753696_to_756548.wav,STT_NS,3,68,2.852,wav16k/STT_NS_M0046_0133_753696_to_756548.wav,ཏོག་ཙི་ག་རེ་ལབ་དགོས་རེད་དེ་འདྲའི་སེམས་ཁྲལ་མི་འདུག་ཡོད་བ་ལོ་རིམ་དང་པོ།
STT_TT00282_657.100-657.950,མར་ནས་ཡར་རྐང་པ་ལ་ཡར།  ,mar nas yar rkang pa la yar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00282_657.100-657.950.wav,STT_TT,3,22,0.8500000000000227,wav16k/STT_TT00282_657.100-657.950.wav,མར་ནས་ཡར་རྐང་པ་ནས་ཡར།
STT_NS_M0048_0200_1539400_to_1547395,ཆེན་པོ་མེད་རེད་ད་ཡང་། ཡིན་ནས་བྲག་དཀྱིལ་མ་ནས་ཐོན་གི་རེད་ཡང་། ཡ་ཡུད་སྙིང་རྗེ་མོ་ཡོད་བ། ད་ང་ཚོ་རང་བྱུང་ཁམས་ལབ་ཀི་རཱ། རང་བྱུང་ཟེར་དུས་མིས་བཟོ་རྒྱོ་མ་རཱ་ཡང་།  ,chen po med red da yang /_yin nas brag dkyil ma nas thon gi red yang /_ya yud snying rje mo yod ba/_da nga tsho rang byung khams lab ki rA/_rang byung zer dus mis bzo rgyo ma rA yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0048_0200_1539400_to_1547395.wav,STT_NS,3,154,7.995,wav16k/STT_NS_M0048_0200_1539400_to_1547395.wav,ཆེན་པོ་མེད་རེད་ད་ཡང་ཡིན་ནས་བྲག་དཀྱིལ་མ་ནས་ཐོན་གི་རེད་ཡང་ ཡ་ཡུད་སྙིང་རྗེ་མོ་ཡོད་བ་ད་ང་ཚོ་རང་བྱུང་ཁམས་ལབ་ཀི་ར་སོ་ོ་རང་བྱུང་ི་ཐོན་གི་ར་ང་ཚོ་མིས་བཟོས་རྒྱོ་མ་རཱ་ཡང་།
STT_TT00043_03738.400-03739.650,ཞུམ་པ་མེད་པའི་སྙིང་སྟོབས་ཧ་ལས་པ་ཅིག་འདུག ,zhum pa med pa'i snying stobs ha las pa cig 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00043_03738.400-03739.650.wav,STT_TT,3,41,1.25,wav16k/STT_TT00043_03738.400-03739.650.wav,ཞུམ་པ་མེད་པའི་སྙིང་སྟོབས་ཧ་ལས་པ་ཅིག་འདུག
STT_NS0168_0050_370380_to_376785,ཏོག་ཙི་ནམ་རྒྱུན་ཏོག་ཙི་སོ་སོ་ཅིག་བསྡད་ས་ལ་མ་བསྡད་བ་བྱས་སོ་སོ་ཅིག་འཁྱམ་འགྲོ་ཡ་འདྲ་བོ་དེ་འདྲ་ཞེ་དྲགས་ཡོད་མ་རཱ། རེད།  ,tog tsi nam rgyun tog tsi so so cig bsdad sa la ma bsdad ba byas so so cig 'khyam 'gro ya 'dra bo de 'dra zhe drags yod ma rA/_red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0168_0050_370380_to_376785.wav,STT_NS,3,115,6.405,wav16k/STT_NS0168_0050_370380_to_376785.wav,ཨ་ཏོག་ཙི་རྣམ་རྒྱན་ཏོག་ཙི་སོ་སོ་ཅིག་བསྡད་ས་ལ་མ་བསྡད་བ་བྱས། སོ་སོ་ཅིག་འཁྱམ་འགྲོ་ཡ་འདྲ་བོ་དེ་འདྲའི་ཞེ་དྲག་ཡོད་མ་རེད། རེད་རེད།
STT_NS_M0033_0065_532313_to_540734,ཨེ་ནས་ཁོར་ཡུག་དེ་མེད་དུས། ཨེ་ནས་ད་ཀློག་ཐུབ་ཡ་གི་དཀའ་ལས་ཁག་པོ་འདྲ་བོ་ཆགས་ཡ་ཅིག་ཡོད་བ། ད་ཅིག་ཀློག་དགོས་བསམ་ན་ཡང་གཞས་འདྲ་བོ་བཏང་གི་རཱ། དེ་མདུན་མགོ་མདུན་རང་ནས་གཞས་འདྲ་བོ་བཏང་ཨེ་འདྲ་བྱེད་དུས།  ,e nas khor yug de med dus/_e nas da klog thub ya gi dka' las khag po 'dra bo chags ya cig yod ba/_da cig klog dgos bsam na yang gzhas 'dra bo btang gi rA/_de mdun mgo mdun rang nas gzhas 'dra bo btang e 'dra byed dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0033_0065_532313_to_540734.wav,STT_NS,3,188,8.421,wav16k/STT_NS_M0033_0065_532313_to_540734.wav,ཨེ་ནས་ཁོར་ཡུག་དི་མེད་དུས་ཨེ་ནས་ད་ཀློག་ཐུབ་ཡ་གི་དཀའ་ལས་ཁག་པོ་འདྲ་བོ་ཆགས་ཡ་ཅིག་ཡོད་བ། ད་གཅིག་ཀློག་དགོས་བསམ་ན་ཡང་གཞས་འདྲ་བོ་གཏང་གི་རཱ། འདི་བདུན་མགོ་མདུན་རང་ལ་གཞས་འདྲ་བོ་བཏང་ཨེ་འདྲའི་བྱེད་དུས།
STT_TT00690_0262_1739104_to_1742534,བུ་གུ་ཆུང་ཆུང་བྱེ་མ་ཁང་བུ་བརྡིབས་སོང་ལབ་ནས་ངུ་མྱི་དང་གཅིག་པ་རེད་ལབ་རེད་ད།  ,bu gu chung chung bye ma khang bu brdibs song lab nas ngu myi dang gcig pa red lab red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00690_0262_1739104_to_1742534.wav,STT_TT,3,75,3.43,wav16k/STT_TT00690_0262_1739104_to_1742534.wav,པུ་གུ་ཆུང་ཆུང་བྱེ་མ་ཁང་བུ་བརྡིབས་སོང་ལབ་ནས། ངུ་མྱི་དང་གཅིག་པ་རེད་ལབ་རེད་ད།
